simp_plot,reservatio,community.x,longitude,latitude,vibifq,carex,dicot,shade,shrub,hydro,svp,fqi,sens_rel,tol_rel,developed.x,ldi,small_tree,subcanopy_dens,subcanopy_dom,subcanopy_iv,canopy_dens,canopy_dom,canopy_iv,monocots,perc_open,slope,aspect,twi,V1,ACFL,ALFL,AMCR,AMGO,AMKE,AMRE,AMRO,AMWO,BADO,BAEA,BANS,BAOR,BARS,BCCH,BEKI,BGGN,BHCO,BHVI,BLJA,BOBO,BRCR,BRTH,BTNW,BWHA,BWWA,CANG,CARW,CEDW,CERW,CHSP,CHSW,CLSW,COGR,COHA,COYE,DEJU,DOWO,EABL,EAKI,EAME,EAPH,EATO,EAWP,EUST,FISP,GBHE,GCFL,GHOW,GRCA,GRHE,HAWO,HERG,HETH,HOFI,HOSP,HOWA,HOWR,INBU,KILL,LOWA,MALL,MODO,NOCA,NOFL,NOPA,NRWS,OROR,OVEN,PIWO,PUFI,PUMA,RBGR,RBGU,RBNU,RBWO,REVI,RHWO,ROPI,RSHA,RTHA,RTHU,RWBL,SAVS,SCTA,SOSP,SWSP,TRES,TUTI,TUVU,VEER,VIRA,WAVI,WBNU,WEVI,WIFL,WITU,WIWR,WODU,WOTH,YBCU,YEWA,YTVI,YTWA,plot_id,id,reservation,community.y,vibi,fqai,deer,year,panel,pcap.id,fragment.id,developed.y,activity.area,closest.developed,sanctioned.trail,bootleg.trail,closest.trail,developed.edge,stream.edge,total.edges,fragment.area,fragment.perimeter,ldi.index.score,area,perimeter,ldi_3k,dist_road
1014,MS,RuderalWetMesicShrublandandThicket,0,0,21.40481192,4,24,23,0.039870137,0.157857811,1,12.96498782,0,0.488248363,17,2.890467625,0.071428571,0,0,0,150,9202.5,0.132989148,3,19.89,24.24,259.41,11.47969,0,0,0,0,2,0,0,3,0,0,0,0,0,0,4,0,1,2,0,5,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,5,0,0,0,0,1,4,2,0,0,2,0,2,0,0,0,0,0,3,0,3,1,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,2,0,0,6,0,0,5,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,1014_1st,14,Mill Stream Run,Blackberry and Grape Tangle,42,15.75341908,high,2010,Year_1,14,1865,17,556,17,NA,NA,NA,4217,0,4217,380278,3205,1.47,0,0,2.890467625,115.1402474
1015,BE,WetMesicRedMapleForest,0,0,14.12061637,2,13,9,0.035009919,0.079702444,0,12.15920038,0,0.48618491,125,0.517276221,0.285714286,0,0,0,540,61917.1744,0.13964657,2,3.055,0.77,278.24,11.47588,1,1,0,2,1,0,0,5,0,0,0,0,0,0,5,0,0,2,0,6,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,4,5,0,0,2,0,0,0,0,4,0,0,0,7,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,1015_1st,15,Bedford,Red maple thickets and woodlands,7,10.32795559,very high,2010,Year_1,15,3386,125,1159,125,29,65,29,10139,8695,18834,1945098,13162,1.78,1238095,9912,0.517276221,184.9272189
1016,SC,MesicMeadow,0,0,6.117572885,2,23,11,0,0.016215624,2,8.256749545,0.003459948,0.931850553,156,0.336216607,0.071428571,0,0,0,50,4972.45375,0.214573951,0,99.84,1.64,72.1,13.70976,0,0,0,0,3,0,0,3,0,0,0,1,2,0,2,2,2,2,0,2,0,0,1,0,0,0,0,0,3,0,0,1,0,2,0,3,0,2,1,1,0,0,0,2,1,0,0,1,0,2,0,0,0,0,0,1,0,1,3,2,0,0,3,3,2,0,1,0,0,1,1,0,3,0,0,3,2,0,0,0,0,1,3,0,1,3,0,2,2,0,0,0,3,0,0,3,0,0,0,0,1,2,0,0,1016_1st,16,South Chagrin,Old Field (>10 years),40,16.73625623,medium,2010,Year_1,16,7527,156,403,156,6,23,6,3467,2662,6129,417933,3758,2.39,254288,3259,0.336216607,224.3938794
1017,NC,BeechMixedHardwoodHemlockForest,0,0,34.90380259,1,33,27,0.128194471,0.225168877,0,22.1150508,0.136465986,0.239065663,37,0.52316273,0.157575758,30,13.988,0.044708877,1300,31878.4067,0.172842509,5,6.11,14.96,127.04,7.83352,0,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1017_1st,17,North Chagrin,Dry Oak forest and Woodland,50,21.91065775,medium,2010,Year_1,17,17124,37,771,37,0,17,0,11010,1830,12839,1917366,8952,1.68,0,0,0.52316273,130.2451743
1018,HI,SugarMapleMixedHardwoodForest,0,0,59.34676043,2,38,39,0.01497189,0.2884961,0,24.99962264,0.035548534,0.410980547,705,0.858956136,0.4,0,0,0,80,48267.92963,0.110851854,5,1.17,1.55,314.62,14.09051,0,6,0,0,0,0,1,2,0,0,0,0,0,0,2,0,5,2,0,7,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,3,0,3,1,0,0,0,2,6,0,0,0,1,0,0,0,2,0,0,0,0,2,6,5,0,2,0,0,4,0,0,0,0,2,0,0,0,2,0,0,6,5,0,0,0,0,0,0,0,5,4,0,0,2,0,1,0,0,3,0,0,0,0,0,2,0,0,1,4,1018_1st,18,Hinckley,Mesic Floodplain Forest,43,26.94438717,high,2010,Year_1,18,664,705,718,705,500,188,188,12373,3242,15615,2008135,8465,1.7,1218361,7697,0.858956136,490.5233379
1019,MS,WetMesicRedMapleForest,0,0,18.42084649,4,18,16,0.018805535,0.074653526,0,17.70969603,0.036957191,0.455497382,58,1.046011702,0.290322581,10,110.4,0.031443023,830,38548.58244,0.138666564,4,3.055,1.65,344.09,12.76174,0,1,0,2,2,0,0,6,0,0,0,0,1,0,6,0,1,2,0,5,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,5,5,0,0,0,2,5,0,0,0,1,0,1,0,0,0,0,0,4,0,5,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,1,1,0,2,0,0,3,0,1,3,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,1019_1st,19,Mill Stream Run,Beech-red oak forest,46,19.82481414,high,2010,Year_1,19,828,58,944,58,179,17,17,12861,2764,15624,3645170,10878,1.22,0,0,1.046011702,217.3212868
1021,HI,SugarMapleMixedHardwoodForest,0,0,40.41692028,5,30,31,0.375901508,0.575619149,4,18.16643143,0,0.255587193,65,0.592100795,0.090909091,1150,262.5566667,0.186485753,583.3333333,28370.87248,0.125849886,4,5.135,2.36,83.57,7.3359,0,0,0,2,2,0,0,2,0,0,0,0,0,0,2,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1021_1st,21,Hinckley,Sugar maple forest,50,17.939925,medium,2010,Year_1,21,318,65,87,65,18,54,18,23105,0,23105,4185661,12531,1.38,0,0,0.592100795,232.3804091
1022,RR,WetMesicRedMapleForest,0,0,14.96831929,2,17,13,0,0,0,14.05821231,0.098373506,0.45659416,88,3.161659947,0.127819549,100,2893.375,0.078657171,1533.333333,61001.27669,0.144666211,3,1.495,21.07,351.26,7.68851,0,0,0,0,5,0,0,6,0,0,0,0,3,0,4,1,2,4,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,1,1,0,0,2,1,3,0,0,0,4,0,3,0,1,0,0,0,1,0,1,2,1,0,0,0,4,2,0,0,1,0,1,0,0,0,0,0,5,2,0,0,0,0,0,0,0,1,4,0,0,2,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,1022_1st,22,Rocky River,"""MIXED"" FORESTS",41,16.90308509,high,2010,Year_1,22,12103,88,71,71,86,6,6,4472,1068,5540,280992,3177,2.86,0,0,3.161659947,153.0581278
1024,BC,BeechMixedHardwoodHemlockForest,0,0,25.91995026,2,26,20,0.007981718,0.022591637,0,20.08046314,0.011295819,0.404333829,25,8.471420331,0.081081081,0,0,0,2400,34760.60044,0.157751973,4,1.105,20.03,225.12,11.52809,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,1,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,2,2,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1024_1st,24,Big Creek,Beech-maple forest,54,21.31718139,high,2010,Year_1,24,9863,25,7,7,31,11,11,1699,782,2481,96883,1847,3.96,0,0,8.471420331,91.02137387
1025,BR,OakMixedHardwoodForest,0,0,45.81014304,4,29,33,0.00963409,0.086935942,0,23.57475834,0.071946986,0.3650994,110,0.093556508,0.157894737,30,244.85,0.061016178,1670,31900.25119,0.135580505,7,1.56,3.56,139,9.52726,0,3,0,3,7,0,0,4,0,0,0,0,0,0,3,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,1,0,0,1,0,7,0,0,0,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,4,4,0,0,0,0,1,2,0,2,0,0,0,5,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0,1025_1st,25,Brecksville,Dry-Mesic Oak Forest and Woodland,64,30.83050437,high,2010,Year_1,25,758,110,160,110,22,85,22,9445,9766,19211,2708700,9043,1.31,1937830,9532,0.093556508,158.7097456
1026,RR,WetMesicRedMapleForest,0,0,26.74468686,0,20,13,0.032772839,0.206543967,1,14.97108324,0,0.29805726,179,0.596236078,0.195555556,0,0,0,1170,9812.7845,0.137575604,3,11.635,0.41,307.15,13.52676,0,4,0,0,4,0,0,6,0,0,0,0,0,0,6,0,3,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,5,0,0,0,2,0,4,0,4,0,0,0,0,1,5,1,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,5,5,0,0,0,0,0,1,0,2,0,0,0,5,1,0,0,0,4,0,0,0,0,0,2,0,0,0,0,1026_1st,26,Rocky River,Planted-Austrian Pine,29,16,very high,2010,Year_1,26,3614,179,94,94,35,30,30,7409,1895,9304,659619,5641,2.43,0,0,0.596236078,453.3291208
1028,NC,WetMesicRedMapleForest,0,0,32.52464032,5,23,24,0.078230108,0.314004067,3,20.39669091,0.00787584,0.428280956,25,0.458614754,0.161616162,110,340.151,0.065173342,1260,37536.56133,0.173718478,3,1.755,0.95,64.85,9.71975,0,3,0,0,2,0,0,3,0,0,0,0,0,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1028_1st,28,North Chagrin,Beech-maple forest,55,23.19253365,high,2010,Year_1,28,16615,25,NA,25,502,501,501,9324,2678,12002,680474,8158,1.74,0,0,0.458614754,77.85246575
1029,BR,BottomlandForest,0,0,0.859575574,0,10,8,0,0.014721654,0,6.548461876,0,0.975431413,56,1.453189617,0.19047619,0,0,0,25,10431.25,0.102997807,0,38.415,0.93,262.58,11.77893,0,0,0,0,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,2,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,2,2,0,2,0,1,0,1,0,0,1,0,0,1,0,0,3,0,0,1029_1st,29,Brecksville,reed canary grass meadow,27,6.454972244,high,2010,Year_1,29,1209,56,NA,56,NA,NA,NA,8652,2481,11133,591040,5631,1.22,0,0,1.453189617,642.9566986
1030,RR,SugarMapleMixedHardwoodForest,0,0,8.458294283,0,12,9,0,0.095595127,0,8.249579114,0,0.613870665,35,3.430709015,0.342105263,0,0,0,280,80518.98793,0.116451509,1,5.59,6.12,121.78,8.99096,0,0,0,0,0,0,0,6,0,0,0,0,3,0,1,1,0,3,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,4,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,4,5,3,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,0,0,5,0,0,3,0,0,3,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1030_1st,30,Rocky River,"""MIXED"" FORESTS",24,13.31280471,very high,2010,Year_1,30,6822,35,205,35,NA,NA,NA,9786,0,9786,191263,3565,4.23,0,0,3.430709015,49.09136477
1031,BE,BeechMixedHardwoodHemlockForest,0,0,76.93826672,5,36,41,0.016642965,0.030452889,3,29.55288279,0.515934988,0.113858523,50,0.801622851,0.139130435,40,58.1445,0.033639532,960,25715.83274,0.129648178,7,3.12,15.18,257.84,8.40416,0,3,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1031_1st,31,Bedford,"""MIXED"" FORESTS",67,32.60587151,high,2010,Year_1,31,3203,50,57,50,65,246,65,6926,0,6926,650049,5995,1.91,0,0,0.801622851,71.34246869
1033,NC,BeechMixedHardwoodHemlockForest,0,0,87.9129472,1,41,40,0.183665378,0.252515434,3,31.89526128,0.421069224,0.017023512,95,0.257856734,0.031578947,340,55.458,0.071524144,1040,111895.4376,0.186238539,6,2.795,8.98,129.61,6.74347,0,7,0,0,3,0,0,4,0,0,0,0,0,0,6,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,1,0,7,0,0,0,3,0,1,0,3,0,0,0,5,3,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,5,6,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,1033_1st,33,North Chagrin,Beech-maple forest,66,30.66792688,medium high,2010,Year_1,33,17124,95,16,16,28,12,12,11010,1830,12839,1917366,8952,1.68,0,0,0.257856734,432.3822971
1034,HI,RuderalWetMesicShrublandandThicket,0,0,64.87461233,4,55,59,0.044805912,0.231641995,2,29.63489957,0.017189326,0.341351772,360,0.865047569,0.179104478,250,24.5375,0.080462185,1200,47911.72382,0.0922125,7,3.64,2.03,203.99,9.22352,0,3,0,1,1,0,0,0,0,0,0,0,1,0,2,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,3,0,0,0,2,0,2,0,1,0,0,0,0,2,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,2,0,0,3,0,1,0,0,2,0,0,0,0,0,3,0,0,0,0,1034_1st,34,Hinckley,"""MIXED"" FORESTS",60,30.80750351,medium high,2010,Year_1,34,664,360,1009,360,693,466,466,12373,3242,15615,2008135,8465,1.7,1218361,7697,0.865047569,529.7450771
1035,MS,WetMesicRedMapleForest,0,0,45.55299172,9,23,30,0.014060723,0.08543469,2,22.24859546,0.042717345,0.257665579,21,2.111116933,0.23030303,50,379.3,0.06590964,1400,44502.36383,0.146313308,7,1.17,0.25,311.85,12.15096,0,3,0,0,1,0,0,2,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1035_1st,35,Mill Stream Run,"""MIXED"" FORESTS",58,23.71428571,medium,2010,Year_1,35,2672,21,NA,21,NA,NA,NA,7408,0,7408,194527,3961,1.92,0,0,2.111116933,54.36797547
